id,name,type,posted,recommended,qlink
1705598,icza,recognized,2022-04-06,,https://stackoverflow.com/questions/71762407
1705598,icza,recognized,2022-04-06,,https://stackoverflow.com/questions/71773179
56837,Stefan Arentz,recommendation,2013-05-17,2021-06-28,https://stackoverflow.com/questions/8757389
4108803,blackgreen,recommendation,2021-07-13,2021-07-14,https://stackoverflow.com/questions/68360688
1705598,icza,recognized,2022-04-05,,https://stackoverflow.com/questions/71755407
1705598,icza,recognized,2022-04-05,,https://stackoverflow.com/questions/71757187
1705598,icza,recognized,2022-03-31,,https://stackoverflow.com/questions/71689676
1705598,icza,recognized,2022-03-29,,https://stackoverflow.com/questions/71663388
1400793,Paul Hankin,recognized,2022-03-28,,https://stackoverflow.com/questions/71645757
1705598,icza,recognized,2022-03-28,,https://stackoverflow.com/questions/71642837
965900,mkopriva,recommendation,2022-03-27,2022-03-27,https://stackoverflow.com/questions/71635093
1705598,icza,recognized,2022-03-26,,https://stackoverflow.com/questions/71628061
1400793,Paul Hankin,recognized,2022-03-26,,https://stackoverflow.com/questions/71626419
1705598,icza,recognized,2022-03-25,,https://stackoverflow.com/questions/71616694
61974,Mark Byers,recommendation,2011-10-28,2021-06-24,https://stackoverflow.com/questions/7933460
1705598,icza,recognized,2022-03-22,,https://stackoverflow.com/questions/71569119
1705598,icza,recognized,2022-03-21,,https://stackoverflow.com/questions/71558665
5037198,Hana,recognized,2022-03-21,,https://stackoverflow.com/questions/71478821
1705598,icza,recognized,2022-03-20,,https://stackoverflow.com/questions/71545261
1705598,icza,recognized,2022-03-20,,https://stackoverflow.com/questions/71549047
1705598,icza,recognized,2022-03-18,,https://stackoverflow.com/questions/71523520
1705598,icza,recognized,2022-03-18,,https://stackoverflow.com/questions/71523651
1705598,icza,recognized,2022-03-18,,https://stackoverflow.com/questions/71523913
1705598,icza,recognized,2022-03-18,,https://stackoverflow.com/questions/71523364
4108803,blackgreen,recommendation,2022-03-17,2022-03-18,https://stackoverflow.com/questions/71516746
1400793,Paul Hankin,recognized,2022-03-17,,https://stackoverflow.com/questions/71512264
1705598,icza,recognized,2022-03-17,,https://stackoverflow.com/questions/71508481
11810946,Brits,recommendation,2022-03-17,2022-03-23,https://stackoverflow.com/questions/71507321
1705598,icza,recognized,2022-03-16,,https://stackoverflow.com/questions/71501471
